,person_age,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
0,22.0,71948.0,0,RENT,35000.0,PERSONAL,16.02,3.0,561,No,0
1,25.0,12438.0,3,MORTGAGE,5500.0,MEDICAL,12.87,3.0,635,No,0
2,23.0,79753.0,0,RENT,35000.0,MEDICAL,15.23,2.0,675,No,0
3,24.0,66135.0,1,RENT,35000.0,MEDICAL,14.27,4.0,586,No,0
4,21.0,12951.0,0,OWN,2500.0,VENTURE,7.14,2.0,532,No,0
5,26.0,93471.0,1,RENT,35000.0,EDUCATION,12.42,3.0,701,No,701
6,24.0,95550.0,5,RENT,35000.0,MEDICAL,11.11,4.0,585,No,0
7,24.0,100684.0,3,RENT,35000.0,PERSONAL,8.9,2.0,544,No,0
8,21.0,12739.0,0,OWN,1600.0,VENTURE,14.74,3.0,640,No,0
9,22.0,102985.0,0,RENT,35000.0,VENTURE,10.37,4.0,621,No,0
10,21.0,13113.0,0,OWN,4500.0,HOMEIMPROVEMENT,8.63,2.0,651,No,0
11,23.0,114860.0,3,RENT,35000.0,VENTURE,7.9,2.0,573,No,0
12,26.0,130713.0,0,RENT,35000.0,EDUCATION,18.39,4.0,708,No,708
13,23.0,111369.0,0,RENT,35000.0,MEDICAL,20.0,4.0,694,No,0
14,23.0,136628.0,0,RENT,35000.0,DEBTCONSOLIDATION,18.25,4.0,709,No,709
15,24.0,14283.0,1,MORTGAGE,1750.0,EDUCATION,10.99,2.0,679,No,0
16,22.0,79255.0,0,RENT,34000.0,EDUCATION,17.58,4.0,691,No,0
17,22.0,97420.0,1,RENT,33950.0,PERSONAL,14.54,4.0,691,No,0
18,24.0,82443.0,0,RENT,33000.0,HOMEIMPROVEMENT,12.68,3.0,654,No,0
19,21.0,14288.0,0,MORTGAGE,4575.0,VENTURE,17.74,3.0,626,No,0
20,24.0,79054.0,1,RENT,32500.0,HOMEIMPROVEMENT,9.99,3.0,700,No,0
21,21.0,14988.0,0,OTHER,4000.0,EDUCATION,12.84,2.0,553,No,0
22,21.0,14858.0,0,OWN,2000.0,MEDICAL,11.12,3.0,589,No,0
23,26.0,114645.0,2,RENT,31050.0,HOMEIMPROVEMENT,14.17,3.0,681,No,0
24,21.0,15150.0,0,OWN,2500.0,EDUCATION,7.51,4.0,600,No,0
25,22.0,58868.0,0,RENT,30000.0,EDUCATION,18.39,2.0,606,No,0
26,24.0,78026.0,3,RENT,30000.0,DEBTCONSOLIDATION,14.54,3.0,582,No,0
27,25.0,90785.0,4,RENT,30000.0,HOMEIMPROVEMENT,16.89,4.0,649,No,0
28,23.0,86811.0,0,RENT,30000.0,DEBTCONSOLIDATION,11.01,4.0,602,No,0
29,26.0,75503.0,5,RENT,30000.0,MEDICAL,17.99,2.0,616,No,0
30,24.0,15082.0,0,OWN,2500.0,VENTURE,12.69,3.0,631,No,0
31,26.0,98230.0,2,RENT,30000.0,PERSONAL,7.49,3.0,622,No,0
32,22.0,80838.0,0,RENT,30000.0,MEDICAL,12.69,3.0,645,No,0
33,26.0,107957.0,2,RENT,30000.0,DEBTCONSOLIDATION,6.62,3.0,654,No,0
34,24.0,94649.0,2,RENT,30000.0,DEBTCONSOLIDATION,11.01,4.0,624,No,0
35,23.0,94550.0,1,RENT,30000.0,DEBTCONSOLIDATION,18.62,3.0,570,No,0
36,23.0,111153.0,3,RENT,30000.0,PERSONAL,15.23,3.0,648,No,0
37,23.0,117250.0,0,RENT,30000.0,VENTURE,10.65,2.0,652,No,0
38,26.0,316466.0,6,MORTGAGE,10000.0,EDUCATION,11.01,4.0,579,No,0
39,25.0,267671.0,0,MORTGAGE,25000.0,MEDICAL,15.7,2.0,582,No,0
